name,short_name,gender,birth_date,country_code,discipline,function,event
GUERRERO Rolando,GUERRERO R,Male,1996-06-27,MEX,Baseball/Softball,Coach,Softball
GUIDETTI Giovanni,GUIDETTI G,Male,1972-09-27,TUR,Volleyball,Head Coach,Women
GUIMARAES Jose Roberto,GUIMARAES JR,Male,1954-07-31,BRA,Volleyball,Head Coach,Women
GUSTAVSSON Tony,GUSTAVSSON T,Male,1973-08-14,AUS,Football,Head Coach,Women
HAGER Mark,HAGER M,Male,1964-04-28,GBR,Hockey,Head Coach,Women
HAIDARA Soualiho,HAIDARA S,Male,1974-12-30,CIV,Football,Head Coach,Men
HAMMETT Bianca,HAMMETT B.,Female,1990-09-12,AUS,Artistic Swimming,Coach,Duet
HAMMETT Bianca,HAMMETT B.,Female,1990-09-12,AUS,Artistic Swimming,Coach,Team
HARROW Laing,HARROW L,Male,1970-04-03,AUS,Baseball/Softball,Head Coach,Softball
HAVENGA Arno,HAVENGA A,Male,1974-11-14,NED,Water Polo,Head Coach,Women
HAY Danny,HAY D,Male,1975-05-15,NZL,Football,Head Coach,Men
HENKEL Claas,HENKEL C,Male,1979-07-21,GER,Hockey,Coach,Men
HENNING Andre,HENNING A,Male,1983-12-03,CAN,Hockey,Coach,Men
HERGEIRSSON Thorir,HERGEIRSSON T,Male,1964-04-27,NOR,Handball,Coach,Women
HERNANDEZ Anderson,HERNANDEZ A,Male,1982-10-30,DOM,Baseball/Softball,Coach,Baseball
HERNANDEZ Sergio,HERNANDEZ S,Male,1963-11-01,ARG,Basketball,Coach,Men
HEYNEN Vital,HEYNEN V,Male,1969-06-12,POL,Volleyball,Head Coach,Men
HOAG Glenn,HOAG G,Male,1958-12-06,CAN,Volleyball,Head Coach,Men
HOVASSE Thomas Wayne,HOVASSE TW,Male,1967-01-31,JPN,Basketball,Coach,Women
HUGHLEY JR Otis,HUGHLEY JR O,Male,1964-09-25,NGR,Basketball,Coach,Women
IBATA Hirokazu,IBATA H,Male,1975-05-12,JPN,Baseball/Softball,Coach,Baseball
IMURA Masayo,IMURA M,Female,1950-08-16,JPN,Artistic Swimming,Coach,Duet
IMURA Masayo,IMURA M,Female,1950-08-16,JPN,Artistic Swimming,Coach,Team
IWABUCHI Kensuke,IWABUCHI K,Male,1975-12-30,JPN,Rugby Sevens,Head Coach,Men
JACOBS Alex,JACOBS A,Male,1987-06-01,ISR,Baseball/Softball,Coach,Baseball
JACOBSEN Nikolaj,JACOBSEN N,Male,1971-11-22,DEN,Handball,Coach,Men
JARDINE Andre,JARDINE A,Male,1979-09-08,BRA,Football,Head Coach,Men
JAUMA CAYUELA Esther,JAUMA CAYUELA E,Female,1970-05-07,NED,Artistic Swimming,Coach,Duet
JIA Xiuquan,JIA X,Male,1963-03-23,CHN,Football,Head Coach,Women
JIMENEZ NIETO Cecilia,JIMENEZ NIETO C,Female,1995-07-27,ESP,Artistic Swimming,Coach,Duet
JIN Kabyong,JIN K,Male,1974-05-08,KOR,Baseball/Softball,Coach,Baseball
JONES Chris,JONES C,Male,1967-04-19,CAN,Baseball/Softball,Coach,Softball
JONES Nathan,JONES N,Male,1977-01-20,AUS,Baseball/Softball,Coach,Softball
KANEKO Makoto,KANEKO M,Male,1975-11-08,JPN,Baseball/Softball,Coach,Baseball
KANG Jae Won,KANG JW,Male,1965-11-30,KOR,Handball,Coach,Women
KELLER Florian,KELLER F,Male,1981-10-03,GER,Hockey,Coach,Women
KERRY Danny,KERRY D,Male,1970-12-02,GBR,Hockey,Head Coach,Men
KIM Hagbum,KIM H,Male,1960-03-01,KOR,Football,Head Coach,Men
KIM Jae Hyun,KIM JH,Male,1975-10-02,KOR,Baseball/Softball,Coach,Baseball
KIM Jongkook,KIM J,Male,1973-09-14,KOR,Baseball/Softball,Coach,Baseball
KIRALY Karch,KIRALY K,Male,1960-11-03,USA,Volleyball,Head Coach,Women
KIRKELY Ulrik,KIRKELY U,Male,1972-01-05,JPN,Handball,Coach,Women
KIRKPATRICK Andrew,KIRKPATRICK A,Male,1984-05-06,AUS,Baseball/Softball,Coach,Softball
KNEZEVIC Nemanja,KNEZEVIC N,Male,1984-01-11,KAZ,Water Polo,Head Coach,Men
KRIKORIAN Adam,KRIKORIAN A,Male,1974-07-22,USA,Water Polo,Head Coach,Women
KRIST JANSSON Aron,KRIST JANSSON A,Male,1972-07-14,BRN,Handball,Coach,Men
KRUMBHOLZ Olivier,KRUMBHOLZ O,Male,1958-07-12,FRA,Handball,Coach,Women
KULESZA Kasia,KULESZA K,Female,1976-08-29,CAN,Artistic Swimming,Coach,Team
KUNTZ Stefan,KUNTZ S,Male,1962-10-30,GER,Football,Head Coach,Men
KUZIN Andrey,KUZIN A,Male,1978-10-29,ROC,Rugby Sevens,Head Coach,Women
KWIEK Marcos,KWIEK M,Male,1967-07-18,DOM,Volleyball,Head Coach,Women
LAIDLAW Clark,LAIDLAW C,Male,1977-07-16,NZL,Rugby Sevens,Head Coach,Men
LAMAS Julio,LAMAS J,Male,1964-06-09,JPN,Basketball,Coach,Men
LANG Ping,LANG P,Female,1960-12-10,CHN,Volleyball,Head Coach,Women
LAVARINI Stefano,LAVARINI S,Male,1979-01-17,KOR,Volleyball,Head Coach,Women
LEE Jong Yeol,LEE JY,Male,1973-01-28,KOR,Baseball/Softball,Coach,Baseball
LETELIER Jose,LETELIER J,Male,1966-05-23,CHI,Football,Head Coach,Women
LOCK Adrian Mayner,LOCK AM,Male,1976-02-23,ESP,Hockey,Head Coach,Women
LOFTUS Adriana,LOFTUS A,Female,1958-06-28,MEX,Artistic Swimming,Coach,Duet
LORRAINE Andrew,LORRAINE A,Male,1972-08-11,ISR,Baseball/Softball,Coach,Baseball
LOZANO Jaime,LOZANO J,Male,1978-09-29,MEX,Football,Head Coach,Men
MACKINTOSH Euan,MACKINTOSH E,Male,1985-09-06,CHN,Rugby Sevens,Head Coach,Women
MAKIRI Hare,MAKIRI H,Male,1978-05-31,JPN,Rugby Sevens,Head Coach,Women
MALJKOVIC Marina,MALJKOVIC M,Female,1981-09-26,SRB,Basketball,Coach,Women
MANENTI John,MANENTI J,Male,1971-03-30,AUS,Rugby Sevens,Head Coach,Women
MARCZ Tamas,MARCZ T,Male,1974-07-17,HUN,Water Polo,Head Coach,Men
MARIJNE Sjoerd,MARIJNE S,Male,1974-04-20,IND,Hockey,Head Coach,Women
MARTIN LOZANO David,MARTIN LOZANO D,Male,1977-01-02,ESP,Water Polo,Head Coach,Men
MARTIN Paul,MARTIN P,Male,1982-10-12,RSA,Water Polo,Head Coach,Men
MAYONNADE Emmanuel,MAYONNADE E,Male,1983-06-12,NED,Handball,Coach,Women
MAZZANTI Davide,MAZZANTI D,Male,1976-10-15,ITA,Volleyball,Head Coach,Women
McLEOD Shane,McLEOD S,Male,1968-09-04,BEL,Hockey,Head Coach,Men
MENDEZ Marcelo Rodolfo,MENDEZ MR,Male,1964-06-20,ARG,Volleyball,Head Coach,Men
MENTOOR Delaine,MENTOOR D,Female,1993-05-26,RSA,Water Polo,Head Coach,Women
MESTDAGH Philip,MESTDAGH P,Male,1963-01-26,BEL,Basketball,Coach,Women
MEZHENINA Valeriia,MEZHENINA V,Female,1965-03-04,UKR,Artistic Swimming,Coach,Team
MIHAILOVIC Predrag,MIHAILOVIC P,Male,1974-02-24,AUS,Water Polo,Head Coach,Women
MIURA Keiko,MIURA K,Female,1975-03-16,JPN,Hockey,Coach,Women
MIYAKAWA Miya,MIYAKAWA M,Female,1974-12-12,JPN,Artistic Swimming,Coach,Duet
MIYAKAWA Miya,MIYAKAWA M,Female,1974-12-12,JPN,Artistic Swimming,Coach,Team
MLADENOVA Albena,MLADENOVA A,Female,1964-06-10,AUT,Artistic Swimming,Coach,Duet
MONDELO Lucas,MONDELO L,Male,1967-07-28,ESP,Basketball,Coach,Women
MONTICO Loredana,MONTICO L,Female,1965-09-30,AUS,Artistic Swimming,Coach,Duet
MONTICO Loredana,MONTICO L,Female,1965-09-30,AUS,Artistic Swimming,Coach,Team
MORIYASU Hajime,MORIYASU H,Male,1968-08-23,JPN,Football,Head Coach,Men
MOTOMIYA Makihiro,MOTOMIYA M,Male,1968-12-31,JPN,Water Polo,Head Coach,Women
MULBERG Nate,MULBERG N,Male,1992-01-05,ISR,Baseball/Softball,Coach,Baseball
MUNOZ Noe,MUNOZ N,Male,1970-12-03,MEX,Baseball/Softball,Coach,Baseball
MURATA Yoshinori,MURATA Y,Male,1974-04-24,JPN,Baseball/Softball,Coach,Baseball
