name,short_name,gender,birth_date,country,discipline,function
TARAN Nicolas,TARAN N,Male,1980-08-27,Uruguay,Football,Assistant Referee
TASAKI Sosuke,TASAKI S,Male,1978-06-05,Japan,Boxing,Judge
TAYLOR Simon,TAYLOR S,Male,1972-07-02,New Zealand,Hockey,Umpire
TEIXEIRA Tullio,TEIXEIRA T,Male,1960-07-13,Brazil,Beach Volleyball,Referee
TEIXIDO BERMUDEZ Jaume,TEIXIDO BERMUDEZ J,Male,1968-02-01,Spain,Water Polo,Video Assistant Referee
TERANISHI Yukimitsu,TERANISHI Y,Male,1970-04-25,Japan,Beach Volleyball,Referee
TERAZAWA Atsushi,TERAZAWA A,Male,1968-04-11,Japan,Wrestling,Judge
TERRILLI Fernando,TERRILLI F,Male,1969-05-20,Argentina,Diving,Judge
TERRILLI Fernando,TERRILLI F,Male,1969-05-20,Argentina,Water Polo,Judge
TESHIROGI Naomi,TESHIROGI N,Female,1980-09-12,Japan,Football,Assistant Referee
TEUSCHER Gabriela,TEUSCHER G,Female,1955-08-11,Mexico,Equestrian,Jury Member
THAMPU Nelka Shiromala,THAMPU NS,Female,1976-01-22,Sri Lanka,Boxing,Judge
THAULI Harveen,THAULI H,Female,1966-10-17,Canada,Equestrian,Jury Member
THIELENHAUS Andrea,THIELENHAUS A,Female,1963-03-25,Germany,Diving,Judge
THIELENHAUS Andrea,THIELENHAUS A,Female,1963-03-25,Germany,Water Polo,Judge
THIVAIOU Maria,THIVAIOU M,Female,1973-03-14,Greece,Diving,Judge
THIVAIOU Maria,THIVAIOU M,Female,1973-03-14,Greece,Water Polo,Judge
THOMSON Mike,THOMSON M,Male,1958-11-26,Canada,Basketball,Jury Member
TIMBA Majore,TIMBA M,Male,1955-01-23,Cameroon,Volleyball,Referee
TITOV Sergey,TITOV S,Male,1961-09-18,Russian Federation,Volleyball,Referee
TODA Koki,TODA K,Male,1974-09-17,Japan,Volleyball,Referee
TOGAWA Taisuke,TOGAWA T,Male,1974-07-30,Japan,Volleyball,Referee
TOHYAMA Tomohiro,TOHYAMA T,Male,1950-02-21,Japan,Volleyball,Referee
TOMITA Taku,TOMITA T,Male,1965-05-28,Japan,Handball,Referee
TOMLINSON David,TOMLINSON D,Male,1980-07-14,New Zealand,Hockey,Umpire
TOMONO Soomi,TOMONO S,Female,1980-11-01,Japan,Taekwondo,Referee
TONNIES Tobias,TONNIES T,Male,1983-09-30,Germany,Handball,Referee
TORAZAWA Yoshitaka,TORAZAWA Y,Male,1976-08-05,Japan,Volleyball,Referee
TORO MARTINEZ Morgan,TORO MARTINEZ M,Male,1971-12-18,United States of America,Diving,Judge
TORO MARTINEZ Morgan,TORO MARTINEZ M,Male,1971-12-18,United States of America,Water Polo,Judge
TORREALBA Lubin,TORREALBA L,Male,1984-05-19,Venezuela,Football,Assistant Referee
TOTSUKA Akira,TOTSUKA A,Male,1989-08-22,Japan,Volleyball,Referee
TOULOUDIS Nikolaos,TOULOUDIS N,Male,1960-01-31,Greece,Diving,Judge
TRAI Belkacem,TRAI B,Male,1979-05-14,Algeria,Wrestling,Judge
TRINIDAD Richard,TRINIDAD R,Male,1978-01-08,Uruguay,Football,Assistant Referee
TROTTIER Andre,TROTTIER A,Male,1960-07-19,Canada,Beach Volleyball,Referee
TSERENKHAND Tsogtgerel,TSERENKHAND T,Female,1972-12-19,Mongolia,Boxing,Judge
TSUJI Tomoyuki,TSUJI T,Male,1976-04-01,Japan,Beach Volleyball,Referee
TSUMURA Kozo,TSUMURA K,Male,1960-11-08,Japan,Judo,Judge
TSUTSUI Minoru,TSUTSUI M,Male,1969-12-16,Japan,Wrestling,Judge
TSUZAKI Asumi,TSUZAKI A,Female,1989-03-22,Japan,Water Polo,Referee
TSYLENTS Valery,TSYLENTS V,Male,1969-09-22,Belarus,Wrestling,Judge
TURBAT Enkhtsetseg,TURBAT E,Female,1983-11-27,Mongolia,Judo,Judge
TURCI Paulo,TURCI P,Male,1964-07-25,Brazil,Volleyball,Referee
TURNER Tracy,TURNER T,Male,1953-12-16,United States of America,Equestrian,Jury Member
TUTTON Steve,TUTTON S,Male,1960-04-09,Australia,Beach Volleyball,Referee
UCHIDA Kazuo,UCHIDA K,Male,1992-02-15,Japan,Volleyball,Referee
UEHARA Shinnosuke,UEHARA S,Male,1985-12-19,Japan,Volleyball,Referee
UFITIMANA Samuel,UFITIMANA S,Male,1981-03-20,Rwanda,Diving,Judge
UFITIMANA Samuel,UFITIMANA S,Male,1981-03-20,Rwanda,Water Polo,Judge
UGAWA Nao,UGAWA N,Female,1995-12-08,Japan,Beach Volleyball,Referee
UMEZAWA Masato,UMEZAWA M,Male,1986-06-07,Japan,Handball,Referee
USUI Ken,USUI K,Male,1986-12-25,Japan,Handball,Referee
VACHUN Michal,VACHUN M,Male,1944-06-27,Czech Republic,Judo,Judge
VALENZUELA Jesus,VALENZUELA J,Male,1983-11-24,Venezuela,Football,Referee
VALKOV Diyan,VALKOV D,Male,1977-03-02,Bulgaria,Football,Assistant Referee
van BUNGE Coen,van BUNGE C,Male,1981-06-03,Netherlands,Hockey,Umpire
van DAELE Jacques,van DAELE J,Male,1954-08-03,Belgium,Equestrian,Chief Steward
van den HOOGENBAND Cees,van den HOOGENBAND,Male,1949-06-06,Netherlands,Diving,Judge
van den HOOGENBAND Cees,van den HOOGENBAND,Male,1949-06-06,Netherlands,Water Polo,Judge
van der VOORT Ronald,van der VOORT R,Male,1972-08-24,Netherlands,Diving,Judge
VAQUERA Alejandro,VAQUERA A,Male,1976-02-24,Spain,Basketball,Jury Member
VARDANYAN Avetik,VARDANYAN A,Male,1980-08-25,Armenia,Wrestling,Judge
VARELA Santiago,VARELA S,Male,1968-09-08,Spain,Equestrian,Course Designer
VARVODIC Josip,VARVODIC J,Male,1985-08-03,Croatia,Diving,Judge
VARVODIC Josip,VARVODIC J,Male,1985-08-03,Croatia,Water Polo,Judge
VASYLYNCHUK Pavlo,VASYLYNCHUK P,Male,1981-02-21,Ukraine,Boxing,Judge
VAZQUEZ CALERO Wilfredo,VAZQUEZ CALERO W,Male,1971-08-19,Cuba,Boxing,Judge
VAZQUEZ Francisco,VAZQUEZ F,Male,1976-10-05,Spain,Hockey,Umpire
VENEGAS Lucila,VENEGAS L,Female,1981-04-23,Mexico,Football,Referee
VERBEEK Francis,VERBEEK F,Female,1956-04-27,Netherlands,Equestrian,Jury Member
VEYRAT Emmanuel,VEYRAT E,Male,1984-08-06,France,Wrestling,Judge
VIDOT Aurelie,VIDOT A,Female,1980-11-23,France,Basketball,Jury Member
VIGLIANO Mauro,VIGLIANO M,Male,1975-08-05,Argentina,Football,Video Assistant Referee (VAR)
VILARINO Manuel,VILARINO M,Male,1981-12-15,Argentina,Boxing,Judge
VILLARREAL Angel Luis,VILLARREAL AL,Male,1955-10-10,United States of America,Boxing,Judge
VILLAS-BOAS Maria Amelia,VILLAS-BOAS MA,Female,1957-07-05,Brazil,Beach Volleyball,Referee
VILLET Charles,VILLET C,Male,1964-11-15,South Africa,Wrestling,Judge
VOEVODIN Arkadiy,VOEVODIN A,Male,1971-01-23,Russian Federation,Water Polo,Referee
VYAS Mayur Jansukhlal,VYAS MJ,Male,1958-07-20,India,Diving,Judge
WAH Eric,WAH E,Male,1954-02-27,Canada,Taekwondo,Referee
WAITH John,WAITH J,Male,1952-05-28,Great Britain,Boxing,Judge
WALDOW John,WALDOW J,Male,1964-09-02,New Zealand,Water Polo,Referee
WANG Lijun,WANG L,Female,1975-07-10,People's Republic of China,Beach Volleyball,Referee
