name,short_name,gender,birth_date,country,country_code,discipline,discipline_code
WALSH Keira,WALSH K,Female,1997-04-08,Great Britain,GBR,Football,FBL
WALSH Michaela,WALSH M,Female,1993-06-05,Ireland,IRL,Boxing,BOX
WALSH Tomas,WALSH T,Male,1992-03-01,New Zealand,NZL,Athletics,ATH
WALSHE Ellen,WALSHE E,Female,2001-09-29,Ireland,IRL,Swimming,SWM
WALZ Marcus,WALZ M,Male,1994-10-03,Spain,ESP,Canoe Sprint,CSP
WAMBUI Leah,WAMBUI L,Female,1989-05-21,Kenya,KEN,Rugby Sevens,RUG
WAMMES Nick,WAMMES N,Male,1999-10-21,Canada,CAN,Cycling Track,CTR
WAN Jiyuan,WAN J,Female,2002-07-13,People's Republic of China,CHN,3x3 Basketball,BK3
WANAMAKER Madeleine,WANAMAKER M,Female,1995-02-14,United States of America,USA,Rowing,ROW
WANDERS Julien,WANDERS J,Male,1996-03-18,Switzerland,SUI,Athletics,ATH
WANDTKE Igor,WANDTKE I,Male,1990-11-03,Germany,GER,Judo,JUD
WANG Chi-Lin,WANG CL,Male,1995-01-18,Chinese Taipei,TPE,Badminton,BDM
WANG Chunyu,WANG C,Female,1995-01-17,People's Republic of China,CHN,Athletics,ATH
WANG Congkang,WANG C,Male,1996-10-31,People's Republic of China,CHN,Canoe Sprint,CSP
WANG Dapeng,WANG D,Male,1996-12-03,People's Republic of China,CHN,Archery,ARC
WANG Eugene,WANG E,Male,1985-11-13,Canada,CAN,Table Tennis,TTE
WANG Fan,Wang F,Female,1994-01-27,People's Republic of China,CHN,Beach Volleyball,VBV
WANG Fei,WANG F,Female,1988-07-12,People's Republic of China,CHN,Rowing,ROW
WANG Han,WANG H,Female,1991-01-24,People's Republic of China,CHN,Diving,DIV
WANG Hsing-Hao,WANG HH,Male,1999-06-05,Chinese Taipei,TPE,Swimming,SWM
WANG Huan,WANG H,Female,1997-10-08,People's Republic of China,CHN,Water Polo,WPO
WANG Huijing,WANG H,Female,1980-04-19,United States of America,USA,Table Tennis,TTE
WANG Jianan,WANG J,Male,1996-08-27,People's Republic of China,CHN,Athletics,ATH
WANG Jianjiahe,WANG J,Female,2002-07-17,People's Republic of China,CHN,Swimming,SWM
WANG Kaihua,WANG K,Male,1994-02-16,People's Republic of China,CHN,Athletics,ATH
WANG Kuan-Hung,WANG KH,Male,2002-01-23,Chinese Taipei,TPE,Swimming,SWM
WANG Lili,WANG L,Female,1992-09-08,People's Republic of China,CHN,3x3 Basketball,BK3
WANG Luyao,WANG L,Female,1998-03-18,People's Republic of China,CHN,Shooting,SHO
WANG Manyu,WANG M,Female,1999-02-09,People's Republic of China,CHN,Table Tennis,TTE
WANG Mengjie,WANG M,Female,1995-11-14,People's Republic of China,CHN,Volleyball,VVO
WANG Na,WANG N,Female,1994-08-05,People's Republic of China,CHN,Hockey,HOC
WANG Nan,WANG N,Female,2000-09-25,People's Republic of China,CHN,Canoe Sprint,CSP
WANG Qian,WANG Q,Female,1993-06-30,People's Republic of China,CHN,Shooting,SHO
WANG Qiang,WANG Q,Female,1992-01-14,People's Republic of China,CHN,Tennis,TEN
WANG Qianyi,WANG Q,Female,1997-01-16,People's Republic of China,CHN,Artistic Swimming,SWA
WANG Qin,WANG Q,Male,1994-05-08,People's Republic of China,CHN,Athletics,ATH
WANG Ruidong,WANG R,Male,2000-07-08,People's Republic of China,CHN,Cycling Road,CRD
WANG Shanshan,WANG S,Female,1990-01-27,People's Republic of China,CHN,Football,FBL
