medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Silver Medal,2,2021-07-29,CHO G,CHO Guham,M,KOR,JUD,Men -100 kg,Republic of Korea,Judo
Bronze Medal,3,2021-07-29,ILIASOV N,ILIASOV Niiaz,M,ROC,JUD,Men -100 kg,ROC,Judo
Bronze Medal,3,2021-07-29,FONSECA J,FONSECA Jorge,M,POR,JUD,Men -100 kg,Portugal,Judo
Gold Medal,1,2021-07-29,HAMADA S,HAMADA Shori,W,JPN,JUD,Women -78 kg,Japan,Judo
Silver Medal,2,2021-07-29,MALONGA M,MALONGA Madeleine,W,FRA,JUD,Women -78 kg,France,Judo
Bronze Medal,3,2021-07-29,AGUIAR M,AGUIAR Mayra,W,BRA,JUD,Women -78 kg,Brazil,Judo
Bronze Medal,3,2021-07-29,WAGNER AM,WAGNER Anna-Maria,W,GER,JUD,Women -78 kg,Germany,Judo
Gold Medal,1,2021-07-29,Mc CARTHY F,Mc CARTHY Fintan,M,IRL,ROW,Lightweight Men's Double Sculls,Ireland,Rowing
Gold Medal,1,2021-07-29,O'DONOVAN P,O'DONOVAN Paul,M,IRL,ROW,Lightweight Men's Double Sculls,Ireland,Rowing
Silver Medal,2,2021-07-29,ROMMELMANN J,ROMMELMANN Jonathan,M,GER,ROW,Lightweight Men's Double Sculls,Germany,Rowing
Silver Medal,2,2021-07-29,OSBORNE J,OSBORNE Jason,M,GER,ROW,Lightweight Men's Double Sculls,Germany,Rowing
Bronze Medal,3,2021-07-29,OPPO S,OPPO Stefano,M,ITA,ROW,Lightweight Men's Double Sculls,Italy,Rowing
Bronze Medal,3,2021-07-29,RUTA P,RUTA Pietro,M,ITA,ROW,Lightweight Men's Double Sculls,Italy,Rowing
Gold Medal,1,2021-07-29,CESARINI F,CESARINI Federica,W,ITA,ROW,Lightweight Women's Double Sculls,Italy,Rowing
Gold Medal,1,2021-07-29,RODINI V,RODINI Valentina,W,ITA,ROW,Lightweight Women's Double Sculls,Italy,Rowing
Silver Medal,2,2021-07-29,BOVE C,BOVE Claire,W,FRA,ROW,Lightweight Women's Double Sculls,France,Rowing
Silver Medal,2,2021-07-29,TARANTOLA L,TARANTOLA Laura,W,FRA,ROW,Lightweight Women's Double Sculls,France,Rowing
Bronze Medal,3,2021-07-29,KEIJSER M,KEIJSER Marieke,W,NED,ROW,Lightweight Women's Double Sculls,Netherlands,Rowing
Bronze Medal,3,2021-07-29,PAULIS I,PAULIS Ilse,W,NED,ROW,Lightweight Women's Double Sculls,Netherlands,Rowing
Gold Medal,1,2021-07-29,SINKOVIC M,SINKOVIC Martin,M,CRO,ROW,Men's Pair,Croatia,Rowing
Gold Medal,1,2021-07-29,SINKOVIC V,SINKOVIC Valent,M,CRO,ROW,Men's Pair,Croatia,Rowing
Silver Medal,2,2021-07-29,COZMIUC M,COZMIUC Marius,M,ROU,ROW,Men's Pair,Romania,Rowing
Silver Medal,2,2021-07-29,TUDOSA C,TUDOSA Ciprian,M,ROU,ROW,Men's Pair,Romania,Rowing
Bronze Medal,3,2021-07-29,VYSTAVEL F,VYSTAVEL Frederic,M,DEN,ROW,Men's Pair,Denmark,Rowing
Bronze Medal,3,2021-07-29,SUTTON J,SUTTON Joachim,M,DEN,ROW,Men's Pair,Denmark,Rowing
Gold Medal,1,2021-07-29,PRENDERGAST G,PRENDERGAST Grace,W,NZL,ROW,Women's Pair,New Zealand,Rowing
Gold Medal,1,2021-07-29,GOWLER K,GOWLER Kerri,W,NZL,ROW,Women's Pair,New Zealand,Rowing
Silver Medal,2,2021-07-29,ORIABINSKAIA E,ORIABINSKAIA Elena,W,ROC,ROW,Women's Pair,ROC,Rowing
Silver Medal,2,2021-07-29,STEPANOVA V,STEPANOVA Vasilisa,W,ROC,ROW,Women's Pair,ROC,Rowing
Bronze Medal,3,2021-07-29,JANSSENS H,JANSSENS Hillary,W,CAN,ROW,Women's Pair,Canada,Rowing
Bronze Medal,3,2021-07-29,FILMER C,FILMER Caileigh,W,CAN,ROW,Women's Pair,Canada,Rowing
Gold Medal,1,2021-07-29,LIPTAK J,LIPTAK Jiri,M,CZE,SHO,Trap Men,Czech Republic,Shooting
Silver Medal,2,2021-07-29,KOSTELECKY D,KOSTELECKY David,M,CZE,SHO,Trap Men,Czech Republic,Shooting
Bronze Medal,3,2021-07-29,COWARD HOLLEY MJ,COWARD HOLLEY Matthew John,M,GBR,SHO,Trap Men,Great Britain,Shooting
Gold Medal,1,2021-07-29,REHAK STEFECEKOVA,REHAK STEFECEKOVA Zuzana,W,SVK,SHO,Trap Women,Slovakia,Shooting
Silver Medal,2,2021-07-29,BROWNING K,BROWNING Kayle,W,USA,SHO,Trap Women,United States of America,Shooting
Bronze Medal,3,2021-07-29,PERILLI A,PERILLI Alessandra,W,SMR,SHO,Trap Women,San Marino,Shooting
Gold Medal,1,2021-07-29,DRESSEL C,DRESSEL Caeleb,M,USA,SWM,Men's 100m Freestyle,United States of America,Swimming
Silver Medal,2,2021-07-29,CHALMERS K,CHALMERS Kyle,M,AUS,SWM,Men's 100m Freestyle,Australia,Swimming
Bronze Medal,3,2021-07-29,KOLESNIKOV K,KOLESNIKOV Kliment,M,ROC,SWM,Men's 100m Freestyle,ROC,Swimming
Gold Medal,1,2021-07-29,STUBBLETY-COOK I,STUBBLETY-COOK Izaac,M,AUS,SWM,Men's 200m Breaststroke,Australia,Swimming
Silver Medal,2,2021-07-29,KAMMINGA A,KAMMINGA Arno,M,NED,SWM,Men's 200m Breaststroke,Netherlands,Swimming
Bronze Medal,3,2021-07-29,MATTSSON M,MATTSSON Matti,M,FIN,SWM,Men's 200m Breaststroke,Finland,Swimming
Gold Medal,1,2021-07-29,FINKE R,FINKE Robert,M,USA,SWM,Men's 800m Freestyle,United States of America,Swimming
Silver Medal,2,2021-07-29,PALTRINIERI G,PALTRINIERI Gregorio,M,ITA,SWM,Men's 800m Freestyle,Italy,Swimming
Bronze Medal,3,2021-07-29,ROMANCHUK M,ROMANCHUK Mykhailo,M,UKR,SWM,Men's 800m Freestyle,Ukraine,Swimming
Gold Medal,1,2021-07-29,ZHANG Y,ZHANG Yufei,W,CHN,SWM,Women's 200m Butterfly,People's Republic of China,Swimming
Silver Medal,2,2021-07-29,SMITH R,SMITH Regan,W,USA,SWM,Women's 200m Butterfly,United States of America,Swimming
Bronze Medal,3,2021-07-29,FLICKINGER H,FLICKINGER Hali,W,USA,SWM,Women's 200m Butterfly,United States of America,Swimming
Gold Medal,1,2021-07-29,YANG J,YANG Junxuan,W,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold Medal,1,2021-07-29,ZHANG Y,ZHANG Yufei,W,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold Medal,1,2021-07-29,DONG J,DONG Jie,W,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold Medal,1,2021-07-29,ZHANG Y,ZHANG Yifan,W,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold Medal,1,2021-07-29,TANG M,TANG Muhan,W,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold Medal,1,2021-07-29,LI B,LI Bingjie,W,CHN,SWM,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Silver Medal,2,2021-07-29,MADDEN P,MADDEN Paige,W,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver Medal,2,2021-07-29,Mc LAUGHLIN K,Mc LAUGHLIN Kathryn,W,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver Medal,2,2021-07-29,SIMS A,SIMS Arabella,W,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver Medal,2,2021-07-29,LEDECKY K,LEDECKY Kathleen,W,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver Medal,2,2021-07-29,FORDE B,FORDE Brooke,W,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver Medal,2,2021-07-29,SCHMITT A,SCHMITT Allison,W,USA,SWM,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,2021-07-29,THROSSELL B,THROSSELL Brianna,W,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-29,WILSON M,WILSON Madison,W,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-29,O'CALLAGHAN M,O'CALLAGHAN Mollie,W,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-29,COOK T,COOK Tamsin,W,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-29,HARRIS M,HARRIS Meg,W,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-29,TITMUS A,TITMUS Ariarne,W,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-29,NEALE L,NEALE Leah,W,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,2021-07-29,McKEON E,McKEON Emma,W,AUS,SWM,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Gold Medal,1,2021-07-29,CHEN M,CHEN Meng,W,CHN,TTE,Women's Singles,People's Republic of China,Table Tennis
Silver Medal,2,2021-07-29,SUN Y,SUN Yingsha,W,CHN,TTE,Women's Singles,People's Republic of China,Table Tennis
Bronze Medal,3,2021-07-29,ITO M,ITO Mima,W,JPN,TTE,Women's Singles,Japan,Table Tennis
Gold Medal,1,2021-07-30,AN S,AN San,W,KOR,ARC,Women's Individual,Republic of Korea,Archery
Silver Medal,2,2021-07-30,OSIPOVA E,OSIPOVA Elena,W,ROC,ARC,Women's Individual,ROC,Archery
Bronze Medal,3,2021-07-30,BOARI L,BOARI Lucilla,W,ITA,ARC,Women's Individual,Italy,Archery
Gold Medal,1,2021-07-30,BAREGA S,BAREGA Selemon,M,ETH,ATH,"Men's 10,000m",Ethiopia,Athletics
Silver Medal,2,2021-07-30,CHEPTEGEI J,CHEPTEGEI Joshua,M,UGA,ATH,"Men's 10,000m",Uganda,Athletics
Bronze Medal,3,2021-07-30,KIPLIMO J,KIPLIMO Jacob,M,UGA,ATH,"Men's 10,000m",Uganda,Athletics
Gold Medal,1,2021-07-30,WANG Yi Lyu,WANG Yi Lyu,W,CHN,BDM,Mixed Doubles,People's Republic of China,Badminton
Gold Medal,1,2021-07-30,HUANG Dong Ping,HUANG Dong Ping,W,CHN,BDM,Mixed Doubles,People's Republic of China,Badminton
Silver Medal,2,2021-07-30,ZHENG Si Wei,ZHENG Si Wei,W,CHN,BDM,Mixed Doubles,People's Republic of China,Badminton
Silver Medal,2,2021-07-30,HUANG Ya Qiong,HUANG Ya Qiong,W,CHN,BDM,Mixed Doubles,People's Republic of China,Badminton
Bronze Medal,3,2021-07-30,WATANABE Y,WATANABE Yuta,W,JPN,BDM,Mixed Doubles,Japan,Badminton
Bronze Medal,3,2021-07-30,HIGASHINO A,HIGASHINO Arisa,W,JPN,BDM,Mixed Doubles,Japan,Badminton
Gold Medal,1,2021-07-30,PRSKAVEC J,PRSKAVEC Jiri,M,CZE,CSL,Men's Kayak,Czech Republic,Canoe Slalom
Silver Medal,2,2021-07-30,GRIGAR J,GRIGAR Jakub,M,SVK,CSL,Men's Kayak,Slovakia,Canoe Slalom
Bronze Medal,3,2021-07-30,AIGNER H,AIGNER Hannes,M,GER,CSL,Men's Kayak,Germany,Canoe Slalom
Gold Medal,1,2021-07-30,KIMMANN N,KIMMANN Niek,M,NED,BMX,Men,Netherlands,Cycling BMX Racing
Silver Medal,2,2021-07-30,WHYTE K,WHYTE Kye,M,GBR,BMX,Men,Great Britain,Cycling BMX Racing
Bronze Medal,3,2021-07-30,RAMIREZ YEPES CA,RAMIREZ YEPES Carlos Alberto,M,COL,BMX,Men,Colombia,Cycling BMX Racing
Gold Medal,1,2021-07-30,SHRIEVER B,SHRIEVER Bethany,W,GBR,BMX,Women,Great Britain,Cycling BMX Racing
Silver Medal,2,2021-07-30,PAJON M,PAJON Mariana,W,COL,BMX,Women,Colombia,Cycling BMX Racing
Bronze Medal,3,2021-07-30,SMULDERS M,SMULDERS Merel,W,NED,BMX,Women,Netherlands,Cycling BMX Racing
Gold Medal,1,2021-07-30,MINOBE K,MINOBE Kazuyasu,M,JPN,FEN,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Gold Medal,1,2021-07-30,KANO K,KANO Koki,M,JPN,FEN,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Gold Medal,1,2021-07-30,YAMADA M,YAMADA Masaru,M,JPN,FEN,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Gold Medal,1,2021-07-30,UYAMA S,UYAMA Satoru,M,JPN,FEN,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Silver Medal,2,2021-07-30,BIDA S,BIDA Sergey,M,ROC,FEN,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Silver Medal,2,2021-07-30,KHODOS S,KHODOS Sergey,M,ROC,FEN,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Silver Medal,2,2021-07-30,SUKHOV P,SUKHOV Pavel,M,ROC,FEN,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Silver Medal,2,2021-07-30,GLAZKOV N,GLAZKOV Nikita,M,ROC,FEN,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Bronze Medal,3,2021-07-30,KWEON Y,KWEON Youngjun,M,KOR,FEN,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze Medal,3,2021-07-30,PARK S,PARK Sangyoung,M,KOR,FEN,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze Medal,3,2021-07-30,MA S,MA Segeon,M,KOR,FEN,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze Medal,3,2021-07-30,SONG J,SONG Jaeho,M,KOR,FEN,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Gold Medal,1,2021-07-30,KRPALEK L,KRPALEK Lukas,M,CZE,JUD,Men +100 kg,Czech Republic,Judo
Silver Medal,2,2021-07-30,TUSHISHVILI G,TUSHISHVILI Guram,M,GEO,JUD,Men +100 kg,Georgia,Judo
Bronze Medal,3,2021-07-30,RINER T,RINER Teddy,M,FRA,JUD,Men +100 kg,France,Judo
Bronze Medal,3,2021-07-30,BASHAEV T,BASHAEV Tamerlan,M,ROC,JUD,Men +100 kg,ROC,Judo
Gold Medal,1,2021-07-30,SONE A,SONE Akira,W,JPN,JUD,Women +78 kg,Japan,Judo
Silver Medal,2,2021-07-30,ORTIZ I,ORTIZ Idalys,W,CUB,JUD,Women +78 kg,Cuba,Judo
Bronze Medal,3,2021-07-30,DICKO R,DICKO Romane,W,FRA,JUD,Women +78 kg,France,Judo
Bronze Medal,3,2021-07-30,KINDZERSKA I,KINDZERSKA Iryna,W,AZE,JUD,Women +78 kg,Azerbaijan,Judo
Gold Medal,1,2021-07-30,BOND H,BOND Hamish,M,NZL,ROW,Men's Eight,New Zealand,Rowing
Gold Medal,1,2021-07-30,BOSWORTH S,BOSWORTH Sam,M,NZL,ROW,Men's Eight,New Zealand,Rowing
Gold Medal,1,2021-07-30,BRAKE M,BRAKE Michael,M,NZL,ROW,Men's Eight,New Zealand,Rowing
Gold Medal,1,2021-07-30,KIRKHAM S,KIRKHAM Shaun,M,NZL,ROW,Men's Eight,New Zealand,Rowing
Gold Medal,1,2021-07-30,MACDONALD M,MACDONALD Matt,M,NZL,ROW,Men's Eight,New Zealand,Rowing
Gold Medal,1,2021-07-30,MACKINTOSH T,MACKINTOSH Thomas,M,NZL,ROW,Men's Eight,New Zealand,Rowing
Gold Medal,1,2021-07-30,MURRAY T,MURRAY Tom,M,NZL,ROW,Men's Eight,New Zealand,Rowing
Gold Medal,1,2021-07-30,WILLIAMSON D,WILLIAMSON Daniel,M,NZL,ROW,Men's Eight,New Zealand,Rowing
Gold Medal,1,2021-07-30,WILSON P,WILSON Phillip,M,NZL,ROW,Men's Eight,New Zealand,Rowing
Silver Medal,2,2021-07-30,FOLLERT L,FOLLERT Laurits,M,GER,ROW,Men's Eight,Germany,Rowing
Silver Medal,2,2021-07-30,JAKSCHIK M,JAKSCHIK Malte,M,GER,ROW,Men's Eight,Germany,Rowing
Silver Medal,2,2021-07-30,JOHANNESEN T,JOHANNESEN Torben,M,GER,ROW,Men's Eight,Germany,Rowing
Silver Medal,2,2021-07-30,OCIK H,OCIK Hannes,M,GER,ROW,Men's Eight,Germany,Rowing
Silver Medal,2,2021-07-30,SAUER M,SAUER Martin,M,GER,ROW,Men's Eight,Germany,Rowing
Silver Medal,2,2021-07-30,SCHMIDT R,SCHMIDT Richard,M,GER,ROW,Men's Eight,Germany,Rowing
Silver Medal,2,2021-07-30,SCHNEIDER J,SCHNEIDER Jakob,M,GER,ROW,Men's Eight,Germany,Rowing
Silver Medal,2,2021-07-30,WEISSENFELD J,WEISSENFELD Johannes,M,GER,ROW,Men's Eight,Germany,Rowing
Silver Medal,2,2021-07-30,ROGGENSACK O,ROGGENSACK Olaf,M,GER,ROW,Men's Eight,Germany,Rowing
Bronze Medal,3,2021-07-30,BUGAJSKI J,BUGAJSKI Josh,M,GBR,ROW,Men's Eight,Great Britain,Rowing
Bronze Medal,3,2021-07-30,DAWSON J,DAWSON Jacob,M,GBR,ROW,Men's Eight,Great Britain,Rowing
Bronze Medal,3,2021-07-30,ELWES C,ELWES Charles,M,GBR,ROW,Men's Eight,Great Britain,Rowing
Bronze Medal,3,2021-07-30,FIELDMAN H,FIELDMAN Henry,M,GBR,ROW,Men's Eight,Great Britain,Rowing
Bronze Medal,3,2021-07-30,FORD T,FORD Tom,M,GBR,ROW,Men's Eight,Great Britain,Rowing
Bronze Medal,3,2021-07-30,GEORGE T,GEORGE Tom,M,GBR,ROW,Men's Eight,Great Britain,Rowing
Bronze Medal,3,2021-07-30,RUDKIN J,RUDKIN James,M,GBR,ROW,Men's Eight,Great Britain,Rowing
Bronze Medal,3,2021-07-30,SBIHI M,SBIHI Mohamed,M,GBR,ROW,Men's Eight,Great Britain,Rowing
Bronze Medal,3,2021-07-30,WYNNE-GRIFFITH O,WYNNE-GRIFFITH Oliver,M,GBR,ROW,Men's Eight,Great Britain,Rowing
Gold Medal,1,2021-07-30,NTOUSKOS S,NTOUSKOS Stefanos,M,GRE,ROW,Men's Single Sculls,Greece,Rowing
Silver Medal,2,2021-07-30,BORCH K,BORCH Kjetil,M,NOR,ROW,Men's Single Sculls,Norway,Rowing
Bronze Medal,3,2021-07-30,MARTIN D,MARTIN Damir,M,CRO,ROW,Men's Single Sculls,Croatia,Rowing
Gold Medal,1,2021-07-30,GRAINGER S,GRAINGER Susanne,W,CAN,ROW,Women's Eight,Canada,Rowing
Gold Medal,1,2021-07-30,GRUCHALLA-WESIERS.,GRUCHALLA-WESIERSKI Kasia,W,CAN,ROW,Women's Eight,Canada,Rowing
Gold Medal,1,2021-07-30,KIT K,KIT Kristen,W,CAN,ROW,Women's Eight,Canada,Rowing
Gold Medal,1,2021-07-30,MAILEY M,MAILEY Madison,W,CAN,ROW,Women's Eight,Canada,Rowing
Gold Medal,1,2021-07-30,PAYNE S,PAYNE Sydney,W,CAN,ROW,Women's Eight,Canada,Rowing
Gold Medal,1,2021-07-30,PROSKE A,PROSKE Andrea,W,CAN,ROW,Women's Eight,Canada,Rowing
Gold Medal,1,2021-07-30,ROMAN L,ROMAN Lisa,W,CAN,ROW,Women's Eight,Canada,Rowing
Gold Medal,1,2021-07-30,ROPER C,ROPER Christine,W,CAN,ROW,Women's Eight,Canada,Rowing
Gold Medal,1,2021-07-30,WASTENEYS A,WASTENEYS Avalon,W,CAN,ROW,Women's Eight,Canada,Rowing
Silver Medal,2,2021-07-30,DYKE E,DYKE Emma,W,NZL,ROW,Women's Eight,New Zealand,Rowing
Silver Medal,2,2021-07-30,GOWLER J,GOWLER Jackie,W,NZL,ROW,Women's Eight,New Zealand,Rowing
Silver Medal,2,2021-07-30,GOWLER K,GOWLER Kerri,W,NZL,ROW,Women's Eight,New Zealand,Rowing
Silver Medal,2,2021-07-30,BEVAN K,BEVAN Kelsey,W,NZL,ROW,Women's Eight,New Zealand,Rowing
Silver Medal,2,2021-07-30,PRENDERGAST G,PRENDERGAST Grace,W,NZL,ROW,Women's Eight,New Zealand,Rowing
Silver Medal,2,2021-07-30,ROSS B,ROSS Beth,W,NZL,ROW,Women's Eight,New Zealand,Rowing
Silver Medal,2,2021-07-30,SHEPHERD C,SHEPHERD Caleb,W,NZL,ROW,Women's Eight,New Zealand,Rowing
Silver Medal,2,2021-07-30,SPOORS L,SPOORS Lucy,W,NZL,ROW,Women's Eight,New Zealand,Rowing
Silver Medal,2,2021-07-30,GREENSLADE E,GREENSLADE Ella,W,NZL,ROW,Women's Eight,New Zealand,Rowing
Bronze Medal,3,2021-07-30,ZHANG M,ZHANG Min,W,CHN,ROW,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,2021-07-30,GUO L,GUO Linlin,W,CHN,ROW,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,2021-07-30,JU R,JU Rui,W,CHN,ROW,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,2021-07-30,LI J,LI Jingjing,W,CHN,ROW,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,2021-07-30,MIAO T,MIAO Tian,W,CHN,ROW,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,2021-07-30,WANG Y,WANG Yuwei,W,CHN,ROW,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,2021-07-30,WANG Z,WANG Zifeng,W,CHN,ROW,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,2021-07-30,XU F,XU Fei,W,CHN,ROW,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,2021-07-30,ZHANG D,ZHANG Dechang,W,CHN,ROW,Women's Eight,People's Republic of China,Rowing
Gold Medal,1,2021-07-30,TWIGG E,TWIGG Emma,W,NZL,ROW,Women's Single Sculls,New Zealand,Rowing
Silver Medal,2,2021-07-30,PRAKATSEN H,PRAKATSEN Hanna,W,ROC,ROW,Women's Single Sculls,ROC,Rowing
Bronze Medal,3,2021-07-30,LOBNIG M,LOBNIG Magdalena,W,AUT,ROW,Women's Single Sculls,Austria,Rowing
Gold Medal,1,2021-07-30,BATSARASHKINA V,BATSARASHKINA Vitalina,W,ROC,SHO,25m Pistol Women,ROC,Shooting
Silver Medal,2,2021-07-30,KIM M,KIM Minjung,W,KOR,SHO,25m Pistol Women,Republic of Korea,Shooting
Bronze Medal,3,2021-07-30,XIAO J,XIAO Jiaruixuan,W,CHN,SHO,25m Pistol Women,People's Republic of China,Shooting
Gold Medal,1,2021-07-30,RYLOV E,RYLOV Evgeny,M,ROC,SWM,Men's 200m Backstroke,ROC,Swimming
Silver Medal,2,2021-07-30,MURPHY R,MURPHY Ryan,M,USA,SWM,Men's 200m Backstroke,United States of America,Swimming
Bronze Medal,3,2021-07-30,GREENBANK L,GREENBANK Luke,M,GBR,SWM,Men's 200m Backstroke,Great Britain,Swimming
Gold Medal,1,2021-07-30,WANG S,WANG Shun,M,CHN,SWM,Men's 200m Individual Medley,People's Republic of China,Swimming
Silver Medal,2,2021-07-30,SCOTT D,SCOTT Duncan,M,GBR,SWM,Men's 200m Individual Medley,Great Britain,Swimming
Bronze Medal,3,2021-07-30,DESPLANCHES J,DESPLANCHES Jeremy,M,SUI,SWM,Men's 200m Individual Medley,Switzerland,Swimming
Gold Medal,1,2021-07-30,McKEON E,McKEON Emma,W,AUS,SWM,Women's 100m Freestyle,Australia,Swimming
Silver Medal,2,2021-07-30,HAUGHEY SB,HAUGHEY Siobhan Bernadette,W,HKG,SWM,Women's 100m Freestyle,"Hong Kong, China",Swimming
Bronze Medal,3,2021-07-30,CAMPBELL C,CAMPBELL Cate,W,AUS,SWM,Women's 100m Freestyle,Australia,Swimming
Gold Medal,1,2021-07-30,SCHOENMAKER T,SCHOENMAKER Tatjana,W,RSA,SWM,Women's 200m Breaststroke,South Africa,Swimming
Silver Medal,2,2021-07-30,KING L,KING Lilly,W,USA,SWM,Women's 200m Breaststroke,United States of America,Swimming
Bronze Medal,3,2021-07-30,LAZOR A,LAZOR Annie,W,USA,SWM,Women's 200m Breaststroke,United States of America,Swimming
Gold Medal,1,2021-07-30,MA L,MA Long,M,CHN,TTE,Men's Singles,People's Republic of China,Table Tennis
Silver Medal,2,2021-07-30,FAN Z,FAN Zhendong,M,CHN,TTE,Men's Singles,People's Republic of China,Table Tennis
Bronze Medal,3,2021-07-30,OVTCHAROV D,OVTCHAROV Dimitrij,M,GER,TTE,Men's Singles,Germany,Table Tennis
Gold Medal,1,2021-07-30,MEKTIC N,MEKTIC Nikola,M,CRO,TEN,Men's Doubles,Croatia,Tennis
Gold Medal,1,2021-07-30,PAVIC M,PAVIC Mate,M,CRO,TEN,Men's Doubles,Croatia,Tennis
Silver Medal,2,2021-07-30,CILIC M,CILIC Marin,M,CRO,TEN,Men's Doubles,Croatia,Tennis
Silver Medal,2,2021-07-30,DODIG I,DODIG Ivan,M,CRO,TEN,Men's Doubles,Croatia,Tennis
Bronze Medal,3,2021-07-30,DANIELL M,DANIELL Marcus,M,NZL,TEN,Men's Doubles,New Zealand,Tennis
Bronze Medal,3,2021-07-30,VENUS M,VENUS Michael,M,NZL,TEN,Men's Doubles,New Zealand,Tennis
Gold Medal,1,2021-07-30,ZHU X,ZHU Xueying,W,CHN,GTR,Women,People's Republic of China,Trampoline Gymnastics
Silver Medal,2,2021-07-30,LIU L,LIU Lingling,W,CHN,GTR,Women,People's Republic of China,Trampoline Gymnastics
Bronze Medal,3,2021-07-30,PAGE B,PAGE Bryony,W,GBR,GTR,Women,Great Britain,Trampoline Gymnastics
Gold Medal,1,2021-07-31,GAZOZ M,GAZOZ Mete,M,TUR,ARC,Men's Individual,Turkey,Archery
Silver Medal,2,2021-07-31,NESPOLI M,NESPOLI Mauro,M,ITA,ARC,Men's Individual,Italy,Archery
Bronze Medal,3,2021-07-31,FURUKAWA T,FURUKAWA Takaharu,M,JPN,ARC,Men's Individual,Japan,Archery
Gold Medal,1,2021-07-31,HOLUB-KOWALIK M,HOLUB-KOWALIK Malgorzata,W,POL,ATH,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,2021-07-31,KACZMAREK N,KACZMAREK Natalia,W,POL,ATH,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,2021-07-31,BAUMGART-WITAN I,BAUMGART-WITAN Iga,W,POL,ATH,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,2021-07-31,SWIETY-ERSETIC J,SWIETY-ERSETIC Justyna,W,POL,ATH,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,2021-07-31,DUSZYNSKI K,DUSZYNSKI Kajetan,W,POL,ATH,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,2021-07-31,ZALEWSKI K,ZALEWSKI Karol,W,POL,ATH,4 x 400m Relay Mixed,Poland,Athletics
Gold Medal,1,2021-07-31,KOWALUK D,KOWALUK Dariusz,W,POL,ATH,4 x 400m Relay Mixed,Poland,Athletics
Silver Medal,2,2021-07-31,OGANDO A,OGANDO Alexander,W,DOM,ATH,4 x 400m Relay Mixed,Dominican Republic,Athletics
Silver Medal,2,2021-07-31,SANTOS L,SANTOS Luguelin,W,DOM,ATH,4 x 400m Relay Mixed,Dominican Republic,Athletics
